Paper,control.mean,control.s,control.n,thin.mean,thin.s,thin.n,burn.mean,burn.s,burn.n,d.thin.control,d.burn.control,d.thin.burn,Years,Notes:
Metlen and Fiedler 2006,25.16666667,3.582674358,3,27.4,1.602775371,3,19.7,2.121320344,3,0.8047,-1.8568,4.0957,,
Collins et al. 2007,16.1,3.959797975,3,27.2,6.081118318,3,11.2,1.838477631,3,-0.7018,-1.1556,1.1556,,Note: Used Native for Total
Fule et al. 2002,52.3,18.30737556,20,37.6,12.20491704,20,53.7,19.17915535,20,-1.2418,0.0981,-1.3163,,
Mason et al. 2009.Bailey,0.2,0.565685425,3,0.8,0.565685425,3,,,,1.0607,,,,"Note: Data for forbs was used as a representative species, and is being used for 'total' from this paper"
Mason et al. 2009.Cox,4.5,2.49844396,3,5.633333333,2.545584412,3,,,,0.4494,,,,
Mason et al. 2009.Sleepy,1.4,0.848528137,3,2,0.848528137,3,,,,0.7071,,,,
Nelson et al. 2008,40.792,28.21826359,30,42.7,16.75532963,40,34.833,9.687909991,32,0.0853,-0.2863,0.5591,,
Freeman et al.,0.626373626,6.459688006,475,,,,1.846153846,4.665330227,475,,0.2165,,,
Zhang et al. 2008,25.18292683,5.66253013,12,20.48780488,2.831265065,12,18.7804878,4.246897597,12,-1.0488,-1.2792,0.473,,
Zenner et al. 2006,0,14.3935086,94,9.701492537,22.07492456,36,,,,0.1668,,,,
Waldrop et al. 2008.Green.River,23.26530612,5.483685242,3,2.244897959,0.577230025,3,10.40816327,7.503990331,3,-2.2988,-0.8342,-0.6541,,
Waldrop et al. 2008.Ohio.Hills,12.625,4.772970773,3,7.625,4.242640687,3,3.125,3.535533906,3,-0.4721,-0.9645,0.4914,,
Kerns et al. 2011,2.694560669,2.488678167,6,,,,2.753138075,3.012610414,6,,0.0212,,,Note: Check this d
Huffman et al. 2013,3.3,2.653299832,12,4,1.989974874,12,3.3,1.326649916,12,0.2985,0,0.4139,,
Shive et al. 2013,6,1.224744871,7,27,19.59591794,7,,,,0.7726,,,,
Scudieri et al. 2010.Chimney,5.3,3.535533906,3,,,,5.5,0.707106781,3,,5.8138,,,
Scudieri et al. 2010.Limestone,5.3,42.42640687,3,,,,5.3,2.828427125,3,,0,,,
