PaperID,Year,Journal,Location,Measurements,OldVsNew,UsedOrNot,Lat,Long,Lat,Long,Lat,Long,Lat,Long,Lat,Long,Lat,Long,Lat,Long,Link
Metlen+Fiedler+etal-2004,2004,Northwest Science,"Hungry Bob Study Area, Oregon",Percent Cover,Old,No,45.727378,-117.273496,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Metlen+Fiedler-2006,2006,Forest Ecology & Management,"Lubrecht Experimental Forest, Montana","Percent Cover, Species Richness",Old,Yes,46.8915987,-113.434247,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Moore+Casey-2006,2006,Rangeland Ecology \& Management,"Gus Pearson Natural Area, Fort Valley Experimental Forest, Arizona",Standing Crop,New,No,35.268965,-111.701749,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Nelson+Halpern+etal-2008,2008,Ecological Applications,"Colville, Okanogan, Wenatchee National Forests, Washington",Percent Cover,Old,Yes,48.688,-117.625,48.937222,-120.938611,48.4,-121,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Phillips+Hutchinson-2007,2007,USDA Forest Service Proceedings,Central Appalachian Plateau in Ohio and Southern Appalachian Mountains in North Carolina,"Percent Cover, Species Richness",New,Yes,39.177301,-82.979541,35.295356,-83.979541,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Phillips+Waldrop+etal-2004,2004,FFS Report (No Journal Listed),"Clemson Experimental Forest, South Carolina",Percent Cover,New,No,34.73194,-82.852031,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Phillips+Waldrop-2008,2008,Forest Ecology & Management,"Clemson Experimental Forest, South Carolina",Percent Cover,Old,Yes,34.73194,-82.852031,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Provencher+Thompson-2014,2014,Rangeland Ecology and Management,"Smith Valley, Utah",Percent Cover,New,Yes,39.26,-114.575,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Scudieri+Sieg+etal-2010,2010,Forest Ecology & Management,"Fort Valley EF and Long Valley EF in Coconino NF, Arizona","Percent Cover, Species Richness",New,Yes,34.924903,-111.735873,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
Shartell+Nagel+etal-2012,2012,Forests,"Hiawatha National Forest, Michigan",Species Richness,New,No,46.23286,-86.510113,,,,,,,,,,,,,https://www.dropbox.com/home/UnderstoryMetaPdfs
