Paper,control.mean,control.s,control.n,thin.mean,thin.s,thin.n,burn.mean,burn.s,burn.n,d.thin.control,d.burn.control,d.thin.burn,Years,Notes:
Metlen and Fiedler 2006,24.9,3.582674358,3,26.96666667,1.602775371,3,19.33333333,1.932758535,3,0.7447,-1.9339,4.2994,,
Collins et al. 2007,16.1,12.20491704,20,27.2,18.74326546,20,11.2,5.666568627,20,-0.7018,-1.1556,1.1556,,Note: Used Native for Total
Nelson et al. 2008,40.5,19.45661841,15,42.2,11.33313725,20,34.5,6.584071689,16,0.111,-0.4189,0.8076,,
Kerns et al. 2011,0.292887029,0.130983062,6,,,,0.820083682,0.785898368,6,,0.0212,,,Note: Check this d
Huffman et al. 2013,3.3,2.653299832,12,4,1.989974874,12,3.3,1.326649916,12,0.2985,0,0.4139,,
Shive et al. 2013,6,2.397915762,24,27,38.36665219,24,,,,0.7726,,0.9358,,
Fornwalt et al. 2010,18,7.826237921,6,,,,3,3.354101966,6,2.4914,,,,
