Paper,control.mean,control.s,control.n,thin.mean,thin.s,thin.n,burn.mean,burn.s,burn.n,d.thin.control,d.burn.control,d.thin.burn,Years,Notes:
Metlen and Fiedler 2006,0.233333333,0.141421356,3,0.466666667,0.329983165,3,0.366666667,0.329983165,3,0.9191,0.5252,0.5252,,
Collins et al. 2007,0.04,0.174355958,20,0.34,0.697423831,20,0.25,0.566656863,20,0.5902,0.5009,0.1416,,
Nelson et al. 2008,0.292,0.149666295,15,0.5,0.361788612,20,0.333,0.154919334,16,0.714,0.269,0.5771,,
Freeman et al.,0.626373626,6.459688006,475,1.846153846,4.665330227,475,,,,,0.2165,,,
Kerns et al. 2011,0.175732218,0.130983062,6,,,,3.163179916,4.322441027,6,,0.977,,,
Fornwalt et al. 2010,6,8.94427191,6,,,,3,8.273451517,6,,0.3482,,,
