Paper,control.mean,control.s,control.n,thin.mean,thin.s,thin.n,burn.mean,burn.s,burn.n,d.thin.control,d.burn.control,d.thin.burn,Years,Notes:
Metlen and Fiedler 2006,48.8,1.649915823,3,53.9,4.148359783,3,46.53333333,5.798275606,3,1.6076,-0.284,1.3317,,
Dodson et al. 2007,32,0.622253967,3,31.1,1.258650071,3,33.8,1.258650071,3,-0.9065,1.813,-2.1452,,
Collins et al. 2007,6.1,1.743559577,20,8.3,2.615339366,20,5.9,1.743559577,20,0.9898,-0.1147,1.0798,Years,Note: used 'Native' for 'Total'
Kane et al. 2010,4,2.424871131,4,6.2,0.173205081,4,,,,1.2798,,,,
Nelson et al. 2008,17,2.843659614,15,18.12,1.656381599,20,17.7,2.943467343,16,0.5004,0.2417,-3.6039,,
Kerns et al. 2011,2.635983264,0.785897396,6,,,,4.627615,1.440813675,6,,4.1121,,,
Huffman et al. 2013,26.7,4.643274706,12,25.6,3.979949748,12,25.3,4.643274706,12,0.2664,0.3137,0.0694,,Note: used 'Native' for 'Total'
Shive et al. 2013,2.3,0.479583152,24,6.2,4.795831523,24,,,,1.1443,,,,Note: used 'Native' for 'Total'
