Paper,control.mean,control.s,control.n,thin.mean,thin.s,thin.n,burn.mean,burn.s,burn.n,d.thin.control,d.burn.control,d.thin.burn,Years,Notes:
Metlen and Fiedler 2006,3.7,1.272792206,3,5.966666667,1.602775371,3,4.366666667,1.932758535,3,1.5662,0.4074,0.9012,,
Collins et al. 2007,0.06,0.130766968,20,0.2,0.305122926,3,0.12,0.05,3,0.5964,0.3338,0.3017,,
Wolk and Rocca 2009,14,1.979898987,3,18.1,2.944486373,4,,,,1.5758,,,,
Kane et al. 2010,0.2,0.173205081,4,0.8,0.519615242,4,,,,2.6833,,,,
Nelson et al. 2008,0.435,0.273140989,15,0.834,0.043588989,20,0.906,0.038729833,16,2.205,2.4555,-1.7343,,
Freeman et al.,1.153846154,4.665330227,475,,,,2.472527473,2.870972447,475,,0.3404,,,
Kerns et al. 2011,0.410041841,0.523932245,6,,,,1.933054393,0.654915307,6,,2.5681,,,
Huffman et al. 2013,0.3,0.331662479,12,0.9,0.663324958,12,0.5,0.663324958,12,1.1442,0.3814,0.603,,
