Paper,control.mean,control.s,control.n,thin.mean,thin.s,thin.n,burn.mean,burn.s,burn.n,d.thin.control,d.burn.control,d.thin.burn,Years,Notes:
Metlen and Fiedler 2006,8.633333333,1.319932658,3,9.8,1.649915823,3,7.366666667,1.084230398,3,0.7809,-1.0487,1.743,,
Collins et al. 2007,9,9.589577676,20,15.8,13.51258672,20,4.9,3.05122926,20,0.5804,-0.5762,1.1128,,
Wayman and North 2007,25,1.414213562,3,14.3,1.414213562,3,27.8,1.414213562,3,-7.566,1.9799,-9.5459,,
Nelson et al. 2008,1.9,0.037416574,15,2.6,0.043588989,20,1.9,0.038729833,16,17.0383,0,16.8612,,
Zhang et al. 2008,25.18292683,5.66253013,12,20.48780488,2.831265065,12,18.7804878,4.246897597,12,-1.0488,-1.2792,0.473,,
Zenner et al. 2006,0.375,30.70423424,420,0.1875,46.05635135,420,,,,-0.0048,,,,
Waldrop et al. 2008.Green.River,10.25,2.902046692,12,15.5,4.974937186,12,7.125,3.31662479,12,1.2891,-1.0028,1.9809,,
Waldrop et al. 2008.Ohio.Hills,10.2,5.306599665,12,16.4,7.296574539,12,12.4,5.969924623,12,0.9718,0.3895,0.6,,
Huffman et al. 2013,1.3,2.321637353,12,1.4,1.326649916,12,0.6,0.994987437,12,0.0529,0.3919,0.6822,,
