Paper,control.mean,control.s,control.n,thin.mean,thin.s,thin.n,burn.mean,burn.s,burn.n,d.thin.control,d.burn.control,d.thin.burn,Years,Notes:
Metlen+Fiedler-2006,48.8,1.649915823,3,53.9,4.148359783,3,46.53333333,5.798275606,3,1.6076,-0.284,1.3317,,
Dodson+Metlen+etal-2007,32,0.622253967,3,31.1,1.258650071,3,33.8,1.258650071,3,-0.9065,1.813,-2.1452,,
Collins+Moghaddas+etal-2007,6.1,0.565685425,3,8.3,0.848528137,3,5.9,0.565685425,3,0.9898,-0.1147,1.0798,Years,Note: used 'Native' for 'Total'
Kane+Morgan+etal-2010,4,2.424871131,4,6.2,0.173205081,4,,,,1.2798,,,,
Nelson+Halpern+etal-2008,17,2.843659614,15,18.12,1.656381599,20,17.7,2.943467343,16,0.5004,0.2417,-3.6039,,
Kerns+Buonopane+etal-2011,2.635983264,0.785897396,6,,,,4.627615,1.440813675,6,,4.1121,,,
Huffman+Stoddard+etal-2013,26.7,4.643274706,12,25.6,3.979949748,12,25.3,4.643274706,12,0.2664,0.3137,0.0694,,Note: used 'Native' for 'Total'
Shive+Kenzi+etal-2013,2.3,0.244948974,7,6.2,2.449489743,7,,,,1.1443,,,,Note: used 'Native' for 'Total'
