Paper,control.mean,control.s,control.n,thin.mean,thin.s,thin.n,burn.mean,burn.s,burn.n,d.thin.control,d.burn.control,d.thin.burn,Years,Notes:
Metlen+Fiedler-2006,0.233333333,0.141421356,3,0.466666667,0.329983165,3,0.366666667,0.329983165,3,0.9191,0.5252,0.5252,,
Collins+Moghaddas+etal-2007,0.04,0.056568542,3,0.34,0.22627417,3,0.25,0.183847763,3,0.5902,0.5009,0.1416,,
Nelson+Halpern+etal-2008,0.292,0.149666295,15,0.5,0.361788612,20,0.333,0.154919334,16,0.714,0.269,0.5771,,
Kerns+Buonopane+etal-2011,0.175732218,0.130983062,6,,,,3.163179916,4.322441027,6,,0.977,,,
Fornwalt+Kaufmann+etal-2010-Upland-Low,0.1,0.3,10,,,,0.2,0.3,10,,,,,
Dodson-2004,0.033,0.106131993,12,0.103,0.139298241,12,0.083,0.169147864,12,,,,,
Dodson+Fiedler-2006,0.253333333,0.146135401,3,0.463333333,0.263986532,3,0.376666667,0.315841029,3,,,,,
