Paper,control.mean,control.s,control.n,thin.mean,thin.s,thin.n,burn.mean,burn.s,burn.n
Fornwalt+Kaufmann-2014-Riparian,9.5,10.39230485,4,,,,17.5,8.660254038,4
Fornwalt+Kaufmann-2014-Upland,3,6.708203932,6,,,,10.5,8.94427191,6
Huffman+Stoddard+etal-2013,12.6,3.31662479,12,10.2,3.979949748,12,11.6,4.643274706,12
Kane+Morgan+etal-2010,1.9,2.078460969,4,4.1,1.039230485,4,,,
Kerns+Buonopane+etal-2011,11.89121339,2.881627352,6,,,,10.9539749,2.75064429,6
Knapp+Schwilk+etal-2006,0,0,3,,,,-0.08,0.230217289,3
Metlen+Fiedler-2006,41.83333334,2.458545188,3,47.8,3.246878843,3,41.5,5.12445119,3
Nelson+Halpern+etal-2008,2.818,0.053851648,30,3.763,0.06244998,40,2.89,0.055677644,32
Phillips+Hutchinson-2007-OhioHills,3.3,0.282842712,3,3.25,0.282842712,3,5.1,0.565685425,3
Phillips+Hutchinson-2007-SouthernAppalachian,1.7,0.282842712,3,1.55,0.282842712,3,2.3,0.424264069,3
