Paper,control.mean,control.s,control.n,thin.mean,thin.s,thin.n,burn.mean,burn.s,burn.n,d.thin.control,d.burn.control,d.thin.burn
Collins+Moghaddas+etal-2007,0.9,0.282842712,3,1.3,1.838477631,3,0.5,0.183847763,3,0.0987,-0.5441,0.1987
Metlen+Fiedler-2006,11.16666667,2.074179891,3,12.53333333,1.414213562,3,9.7,2.404163056,3,0.7699,-0.6532,1.4366
Nelson+Halpern+etal-2008,11.5,5.385165,30,11,6.244998,40,10,5.567764,32,-0.0848,-0.2737,0.1679
Scudieri+Sieg+etal-2010-Chimney,4.5,0.7,3,,,,6.5,0.5,3,,2.325,
Scudieri+Sieg+etal-2010-Limestone,5,0.707106781,3,,,,7,1.414213562,3,,1.7889,
Waldrop+Yaussy+etal-2008-GreenRiver,0.585,0.190918831,3,0.3,0.275771645,3,0.45,0.190918831,3,-0.5124,-0.3015,-0.335
Waldrop+Yaussy+etal-2008-OhioHills,0.99,0.466690476,3,1.26,0.509116882,3,1.71,0.593969696,3,0.5748,0.2357,-0.3469
Zenner+Kabrick+etal-2006,1.40625,22.60230647,94,3.75,19.41213679,36,,,,0.0402,,
