Paper,control.mean,control.s,control.n,thin.mean,thin.s,thin.n,burn.mean,burn.s,burn.n
Collins+Moghaddas+etal-2007,9,3.111269837,3,15.8,4.384062043,3,4.9,0.989949494,3
Huffman+Stoddard+etal-2013,1.3,2.2627417,12,1.4,3.111269837,12,0.6,2.545584412,12
Knapp+Schwilk+etal-2006,0,0,3,,,,-2.04,1.004091629,3
Metlen+Fiedler-2006,8.633333333,1.319932658,3,9.8,1.649915823,3,7.366666667,1.084230398,3
Nelson+Halpern+etal-2008,1.9,0.037416574,15,2.6,0.043588989,20,1.9,0.038729833,16
Provencher+Thompson-2014,10,5.232590181,3,14.7,10.74802307,3,,,
Waldrop+Phillips+etal-2010,16,1.414213562,3,3,0.707106781,3,9,7.071067812,3
Waldrop+Yaussy+etal-2008-GreenRiver,10.25,1.237436867,3,15.5,2.121320344,3,7.125,1.414213562,3
Waldrop+Yaussy+etal-2008-OhioHills,10.2,5.306599665,3,16.4,7.296574539,3,12.4,5.969924623,3
Zenner+Kabrick+etal-2006,0.375,14.46547614,94,0.1875,13.31117951,36,,,
Zhang+Ritchie+etal-2008,25.18292683,5.66253013,12,20.48780488,2.831265065,12,18.7804878,4.246897597,12
