Paper,control.mean,control.s,control.n,thin.mean,thin.s,thin.n,burn.mean,burn.s,burn.n
Metlen+Fiedler-2006,25.16666667,3.582674358,3,27.4,1.602775371,3,19.7,2.121320344,3
Collins+Moghaddas+etal-2007,16.1,3.959797975,3,27.2,6.081118318,3,11.2,1.838477631,3
Mason+Baker+etal-2009-Bailey,0.2,0.565685425,3,0.8,0.565685425,3,,,
Mason+Baker+etal-2009-Cox,4.5,2.49844396,3,5.633333333,2.545584412,3,,,
Mason+Baker+etal-2009-Sleepy,1.4,0.848528137,3,2,0.848528137,3,,,
Nelson+Halpern+etal-2008,40.792,28.21826359,30,42.7,16.75532963,40,34.833,9.687909991,32
Waldrop+Yaussy+etal-2008-GreenRiver,23.26530612,5.483685242,3,2.244897959,0.577230025,3,10.40816327,7.503990331,3
Waldrop+Yaussy+etal-2008-OhioHills,12.625,4.772970773,3,7.625,4.242640687,3,3.125,3.535533906,3
Huffman+Stoddard+etal-2013,3.3,2.653299832,12,4,1.989974874,12,3.3,1.326649916,12
Scudieri+Sieg+etal-2010-Chimney,5.3,3.535533906,3,,,,5.5,0.707106781,3
Scudieri+Sieg+etal-2010-Limestone,5.3,42.42640687,3,,,,5.3,2.828427125,3
Fule+Laughlin+etal-2005,9,2,5,,,,8,2,5
Fornwalt+Kaufmann+etal-2010-Upland-Low,19.7,7.8,10,,,,15.6,7.5,10
Fornwalt+Kaufmann+etal-2010-Upland-Medium,23.6,9.167878708,6,,,,20,11.40394669,6
Fornwalt+Kaufmann+etal-2010-Upland-High,17.6,4.156921938,4,,,,19,6.4,4
Fornwalt+Kaufmann+etal-2010-Riparian-Low,44.1,20.09178937,4,,,,32.9,12.12435565,4
Knapp+Schwilk+etal-2006,0,0,3,,,,2.01,2.630437226,3
Fornwalt+Kaufmann+etal-2014-Upland,24,17.88854382,6,,,,21,35.77708764,6
