Paper,control.mean,control.s,control.n,thin.mean,thin.s,thin.n,burn.mean,burn.s,burn.n
Huffman+Stoddard+etal-2013,2.3,1.326649916,12,3.8,1.989974874,12,2.6,1.326649916,12
Kane+Morgan+etal-2010,2,0.692820323,4,2.6,0.866025404,4,,,
Knapp+Schwilk+etal-2006,0,0,3,,,,-0.05,0.056568542,3
Metlen+Fiedler-2006,8.633333333,1.319932658,3,9.8,1.649915823,3,7.366666667,1.084230398,3
Nelson+Halpern+etal-2008,1.9,0.037416574,15,2.6,0.043588989,20,1.9,0.038729833,16
Zhang+Webster+etal-2008,30.73170732,4.246897597,12,23.47560976,2.831265065,12,23.90243902,2.831265065,12
