PaperID,Author,Year,Journal,Location,Measurements,OldVsNew,UsedOrNot
1,Adel et al.,2012,Forestry Studies in China,Northern Iran,Percent Cover,New,No
2,Ares et al.,2010,Forest Ecology and Management,"Keel Mountain, O.M. Hubbard, and Bottom-line sites in the western Oregon Cascades and Coast Range, Oregon","Percent Cover, Species Richness",New,No
3,Burton et al.,2011,Plant Ecology,"Okmulgee Game Management Area, Oklahoma","Percent Cover, Species Richness",New,No
4,Busse et al. ,2000,Forest Science,"Fremont National Forest, Oregon","Percent Cover, Species Richness",Old,No
5,Collins et al. ,2007,Forest Ecology & Management,"Blodgett Forest Research Station, California","Percent Cover, Species Richness",Old,Yes
6,Dodson et al. ,2007,Restoration Ecology,"Lubrecht Experimental Forest, Montana","Percent Cover, Species Richness",Old,Yes
7,Dodson et al. ,2008,Forest Ecology & Management,"Okanogan-Wenatchee National Forest, Washington","Percent Cover, Species Richness",Old,No
8,"Dodson, Peterson",2010,Forest Ecology & Management,"Okanogan-Wenatchee National Forest, Washington",Percent Cover,Old,No
9,Freeman et al.,2007,Ecological Applications,"Coronado NF, Arizona; Deschutes NF, Oregon; Bandelier NM, New Mexico; Pike, San Isabel NF, Colorado; Wenatchee NF, Washington; El Dorado NF, California","Percent Cover, Species Richness",New,Yes
10,Fulé et al. ,2002,Forest Ecology & Management,"Kaibab National Forest, Arizona",Species Richness,Old,Yes
11,,,,,,,
12,Griffis et al. ,2001,Forest Ecology & Management,"Coconino National Forest, Arizona",Species Richness,Old,No
13,"Harrington, Edwards",1999,Canadian Journal of Forestry,"Savannah River Site, South Carolina","Percent Cover, Species Richness",Old,No
14,Harrod et al. ,2008,Northwest Science,"Okanogan-Wenatchee National Forest, Washington",Percent Cover,Old,No
15,Huffman et al.,2013,Forest Ecology and Management,"Kaibab NF, Arizona","Percent Cover, Species Richness",New,Yes
16,Joubert et al. 2013,,,,,,
17,Kane et al. ,2010,Applied Vegetation Science,"Challenge Experimental Forest, California","Percent Cover, Species Richness",Old,
