PaperID,Author,Year,Journal,Location,Measurements,OldVsNew,UsedOrNot
18,Kerns et al.,2006,Ecoscience,"Malheur NF, Oregon",,New,
19,Kerns et al. 2011,,,,,,
20,Laughlin et al. ,2008,Plant Ecology,"Coconino National Forest, Arizona",Species Richness,Old,Yes
21,Laughlin et al. 2007,,,,,,
22,Mason et al. ,2009,Forest Ecology & Management,"Lincoln National Forest, New Mexico",Percent Cover,Old,Yes
23,Metlen et al. ,2004,Northwest Science,"Hungry Bob Study Area, Oregon",Percent Cover,Old,No
24,"Metlen, Fiedler",2006,Forest Ecology & Management,"Lubrecht Experimental Forest, Montana","Percent Cover, Species Richness",Old,Yes
25,Nelson et al. ,2008,Ecological Applications,"Colville, Okanogan, Wenatchee National Forests, Washington",Percent Cover,Old,Yes
26,Phillips and Waldrop 2007,,,,,,
27,"Phillips, Waldrop",2008,Forest Ecology & Management,"Clemson Experimental Forest, South Carolina",Percent Cover,Old,Yes
28,Scudieri et al.,2010,Forest Ecology & Management,"Fort Valley EF and Long Valley EF in Coconino NF, Arizona","Percent Cover, Species Richness",New,Yes
29,Shartell et al. 2012,,,,,,
30,Shive et al.,2013,Applied Vegetation Science,"Apache-Sitgreaves NF, Arizona","Percent Cover, Species Richness",New,Yes
31,"Shive, Sieg, Fule",2013,Forest Ecology & Management,"White Mountain Apache Tribal lands, Arizona","Percent Cover, Species Richness",New,No
32,Stoddard et al.,2011,Western North American Naturalist,"Fort Valley EF in Coconino NF, Arizona","Percent Cover, Species Richness",New,No
33,Waldrop et al. ,2008,Forest Ecology & Management,"Green River Site, North Carolina and Ohio Hills, Ohio",Percent Cover,Old,No
34,"Wayman, North",2007,Forest Ecology & Management,"Teakettle Experimental Forest, California",Percent Cover,Old,Yes
35,Wienk et al. ,2004,Forest Ecology & Management,"Badger Game Production Area, South Dakota",Species Richness,Old,Yes
36,"Wolk, Rocca",2009,Forest Ecology & Management,"Heil Valley Ranch, Colorado","Percent Cover, Species Richness",Old,Yes
37,Youngblood et al.,2006,Forest Ecology & Management,"Blue Mountains, Oregon",Percent Cover,Old,Yes
38,Zald et al. ,2008,Forest Ecology & Management,"Teakettle Experimental Forest, California",Percent Cover,Old,Yes
39,Zenner et al. ,2006,Forest Ecology & Management,Missouri,"Percent Cover, Species Richness",Old,No
40,Zhang et al. ,2008,Canadian Journal of Forestry,"Blacks Mountain Experimental Forest, California",Percent Cover,Old,No
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
101,,,,,,,
102,,,,,,,
103,,,,,,,
104,,,,,,,
105,,,,,,,
106,,,,,,,
107,,,,,,,
108,,,,,,,
109,,,,,,,
110,,,,,,,
111,,,,,,,
112,,,,,,,
113,,,,,,,
114,,,,,,,
115,,,,,,,
116,,,,,,,
117,,,,,,,
118,,,,,,,
119,,,,,,,
